Date,Close,High,Low,Open,Volume
2025-02-24,383.7522583007813,387.1934535365018,377.35162556079183,377.35162556079183,128500
2025-02-25,390.0250854492188,390.438012090709,380.7830238894748,383.4474839018988,131700
2025-02-26,392.9550476074219,398.6674297990596,389.9169371430288,390.0840941284035,146500
2025-02-27,398.17584228515625,399.7194415255973,392.8862281866855,394.1250382137064,157600
2025-02-28,420.87786865234375,428.2518587962078,404.6255955754612,404.6255955754612,406500
2025-03-03,442.1346435546875,447.4734055088715,417.89880062760926,419.1179574630075,258200
2025-03-04,433.0400695800781,443.520972091148,432.6664492459083,441.4464070795167,172500
2025-03-05,439.55865478515625,439.9420866798032,431.8700336664712,433.5414834765657,141100
2025-03-06,442.2821044921875,444.1895123916413,431.0343088395742,433.4136629219839,184200
2025-03-07,439.2341613769531,447.1980765531149,438.0641525668769,440.5418324022581,107000
2025-03-10,443.0391540527344,449.2529770694268,429.2055710772211,430.8278429394842,101100
2025-03-11,436.0977478027344,446.19521710885175,431.3194167814292,446.19521710885175,122100
2025-03-12,411.950439453125,435.0457987625852,411.78331246639385,435.0457987625852,139300
2025-03-13,411.2424926757813,413.1499004763799,405.7169210079024,409.8561789647373,98300
2025-03-14,414.44775390625,419.5800524083099,410.4756226888901,414.2707853383826,87900
2025-03-17,418.105224609375,420.8975051660912,410.9770344190917,412.9925796433731,95900
2025-03-18,411.0163879394531,416.55180135375656,409.98401131413095,415.28346664486025,76000
2025-03-19,407.3097229003906,412.9434623672881,397.8611976042641,409.8955403345608,117600
2025-03-20,403.01312255859375,406.9656003535672,400.4764832316105,406.9656003535672,124800
2025-03-21,403.052490234375,409.7677243657708,398.70673864070767,403.2294588048134,280300
2025-03-24,405.1958312988281,407.7619954314344,400.44699492228966,405.6579358741718,94900
2025-03-25,407.7718505859375,417.859479625024,402.8853514710699,405.3040420625058,126600
2025-03-26,412.42236328125,415.5391163880154,408.3814009884958,409.4629255683597,105200
2025-03-27,412.50103759765625,414.2511302320168,410.4461557408116,414.2511302320168,77000
2025-03-28,403.7603759765625,414.8017080216271,403.59321899781867,412.4911851086545,89000
2025-03-31,412.0093994140625,414.6542062929347,400.4076668635386,403.6620521299856,155800
2025-04-01,404.09466552734375,412.3437170191439,402.0987733673903,410.1708262895853,137900
2025-04-02,408.5780334472656,409.630063216425,400.4862976598978,403.8291971134827,156400
2025-04-03,414.4772644042969,416.6108189029609,402.33475378942273,410.7312795513258,162600
2025-04-04,389.9071350097656,410.790266832566,386.47575097318577,410.62313984798425,277100
2025-04-07,375.94183349609375,388.3137373288161,371.8968200111333,385.0579874242197,152100
2025-04-08,375.40911865234375,395.2199248550197,373.0906153344105,388.55053576389525,132800
2025-04-09,396.6109924316406,398.8505511269673,366.3422801357773,371.0582006822424,159600
2025-04-10,409.2887573242188,413.8961370371318,395.8118720846077,396.6011356855272,184600
2025-04-11,413.6100158691406,419.08560320536833,407.66085234211147,409.28872721705966,200100
2025-04-14,418.24700927734375,426.208834310993,413.9257204454457,426.208834310993,108600
2025-04-15,414.0934753417969,428.18204463846536,412.3965314720703,428.18204463846536,87800
2025-04-16,406.3585815429688,415.3563193199058,403.26066010119774,414.2809348377718,120600
2025-04-17,405.4410400390625,412.2781330052901,403.2409233661375,411.3014140411079,176000
2025-04-21,389.8725891113281,402.530584184903,387.78098333375664,402.530584184903,106300
2025-04-22,399.8667907714844,406.47698682390535,394.6871689733642,406.47698682390535,105600
2025-04-23,406.1415100097656,406.98996685804514,400.7053644856153,400.7053644856153,131400
2025-04-24,403.2507934570313,406.31908799608647,394.3122494156839,404.6320197786072,124700
2025-04-25,356.999267578125,386.301109588279,345.0515911300945,375.1723235317186,326400
2025-04-28,342.6738586425781,357.3149476977119,339.87193384120974,357.3149476977119,232700
2025-04-29,351.0500793457031,353.723742140793,341.15453723218405,344.70628362718827,232100
2025-04-30,353.8125305175781,357.1472248933306,342.72321747880693,350.4383940381723,318600
2025-05-01,346.4229736328125,354.77943126601537,340.8191234189481,354.77943126601537,195300
2025-05-02,359.42626953125,360.7483026572723,349.02755421320694,349.02755421320694,120200
2025-05-05,356.14093017578125,358.8737863835538,352.4806425252154,355.89428152534583,84700
2025-05-06,356.23956298828125,357.7490515137558,353.50670680015435,354.9274054251277,129100
2025-05-07,358.1042175292969,360.1661964826604,355.1543095211967,356.86109878758015,145800
2025-05-08,354.0789489746094,359.12043290758896,352.90489899681023,358.85406320574793,93900
2025-05-09,348.4652404785156,353.2600759986844,347.89299872396106,352.8654441625827,92000
2025-05-12,352.6779479980469,352.6779479980469,341.0065479507596,349.9450919878001,126200
2025-05-13,354.5623474121094,359.91954849006964,352.8555280342165,352.8555280342165,115900
2025-05-14,354.7103271484375,357.1373412412136,349.7082856978642,354.57221957182,122200
2025-05-15,363.1260070800781,364.0238117815994,354.0887969058561,354.0887969058561,117100
2025-05-16,368.92718505859375,369.1935547600442,361.5573222336875,364.7538790850038,118300
2025-05-19,367.7136535644531,369.0751588877064,365.9377953827609,368.4733506523861,72500
2025-05-20,363.9744873046875,365.7996631989459,362.59323079982113,365.28664485413776,86400
2025-05-21,349.2445983886719,363.71795382037016,348.2678794097423,362.4255173564512,152000
2025-05-22,344.084716796875,349.3531279568994,339.15174416294104,349.3531279568994,119500
2025-05-23,344.1241760253906,346.353889401604,340.38500426088893,340.38500426088893,125900
2025-05-27,348.6723937988281,349.25448098745665,343.9071251212182,348.00151671110143,158300
2025-05-28,343.78875732421875,350.33976013825406,343.3053355888472,347.04453767763226,145300
2025-05-29,351.2671203613281,351.4545757282886,343.1573122249802,343.621012852439,126500
2025-05-30,353.7040405273437,354.2861277297197,346.7584060963448,351.8294866960746,211200
2025-06-02,354.8681945800781,355.7462480694142,348.46520561268204,350.88234418475594,84700
2025-06-03,357.3247985839844,357.74902700458534,350.3791947915955,352.48061584311046,126600
2025-06-04,354.9471435546875,358.58768019277045,350.63572978600126,357.1275393918667,125400
2025-06-05,362.3959045410156,362.71162201190646,353.93090674004696,354.236748631074,129300
2025-06-06,366.7073059082031,372.1138545157636,366.4310606572168,366.4803783379923,121700
2025-06-09,356.8414001464844,365.93780348287737,349.32355417791337,365.93780348287737,172100
2025-06-10,355.46014404296875,358.14368231152343,352.0070632618089,358.14368231152343,101700
2025-06-11,351.96759033203125,356.36779340237547,350.2903676269329,354.68072522597123,86800
2025-06-12,353.95068359375,354.44398088714814,349.1360971928277,351.22767289947944,107500
2025-06-13,351.9774780273437,354.87806838611243,348.415856078478,351.61244286458646,86400
2025-06-16,353.01336669921875,359.46570299624034,352.8259113402865,355.5587973055229,134000
2025-06-17,346.7386779785156,351.22767128440574,344.74573765292587,350.6159874607612,127700
2025-06-18,343.8972473144531,348.9584818465108,343.6801953231289,346.59063099261937,149300
2025-06-20,347.3207702636719,352.06628786527136,343.502653991678,345.80140615433186,462600
2025-06-23,352.0860290527344,352.32280213477725,344.2228684627796,347.87328072283105,136700
2025-06-24,348.8894348144531,353.5066900728981,345.8408612742564,353.5066900728981,128100
2025-06-25,336.7247009277344,348.3763799142775,336.221558191374,348.2777445480925,164000
2025-06-26,336.1623840332031,339.1616098957041,331.6437639698344,336.72472006462374,191200
2025-06-27,335.8861389160156,336.9812444546312,328.8615601711332,335.69868353595893,151700
2025-06-30,342.1411437988281,343.5519668261945,334.21879050330074,335.4717547844021,139100
2025-07-01,347.33056640625,349.4024207868262,340.2665765923772,342.31867981439825,157900
2025-07-02,338.4906921386719,347.3305701344123,327.8848016162706,347.3305701344123,251300
2025-07-03,342.28912353515625,343.4237012723109,339.8621093161635,339.8621093161635,66900
2025-07-07,336.734619140625,340.42447351398164,334.96860627858086,339.4773510759743,123600
2025-07-08,337.6904602050781,341.7022000394659,334.490953341907,335.0159468292389,177800
2025-07-09,341.2267761230469,342.0588396193086,336.8782203350632,339.6815110257931,121500
2025-07-10,348.0813903808594,351.8256910455976,338.1263141570455,341.22675943431324,121800
2025-07-11,340.8602294921875,348.2893999028618,340.83051401971966,347.6851752195588,109000
2025-07-14,343.5941772460937,346.3974678369929,339.7805303520089,340.91969400964734,90400
2025-07-15,338.671142578125,343.59420786644966,338.5819961519028,343.0394988392617,119700
2025-07-16,344.9710693359375,345.2979395406951,338.5324548300899,341.8607087414754,94100
2025-07-17,350.82525634765625,351.5582581655031,343.42580130117415,343.42580130117415,100100
2025-07-18,349.9832763671875,355.1638652436897,346.69462297421137,353.29172999890244,220400
2025-07-21,348.94317626953125,356.94688625214,348.1012277926286,348.9927222107076,183200
2025-07-22,360.6614685058594,361.76097122545207,351.2610709140576,351.2610709140576,153200
2025-07-23,361.9194641113281,364.1779307271019,357.48179229331475,361.55296320450526,187400
2025-07-24,363.4746398925781,364.029348862972,356.8775329632103,361.5529587346524,238700
2025-07-25,352.3408203125,369.3585670221186,351.3799796769148,364.8119181061145,151900
2025-07-28,350.2606506347656,353.84645895816703,350.2111046910626,350.9540217822438,119700
2025-07-29,352.2714538574219,352.54880834300224,348.2695989403009,351.7563453632214,79200
2025-07-30,349.9931640625,353.1728708227988,346.0507702377408,353.1728708227988,124900
2025-07-31,352.8757019042969,353.74739612508705,347.72482822684134,347.72482822684134,339400
2025-08-01,347.4375305175781,353.1629432111591,343.67342966287816,353.1629432111591,128000
2025-08-04,352.8459777832031,353.3412558302083,349.01253053608275,349.2799697988912,103400
2025-08-05,353.4502258300781,358.3039445502416,350.6766506832902,352.94503255858115,92400
2025-08-06,355.49078369140625,357.0261335792176,342.7324160826138,353.450240511114,130500
2025-08-07,349.27008056640625,357.2440449349246,348.705456344605,357.2440449349246,101500
2025-08-08,353.9455261230469,377.07501796755525,349.4880235066079,355.92663839701976,204400
2025-08-11,357.4421691894531,365.0199171911008,354.70822472243805,355.78792722717463,216400
2025-08-12,359.2350769042969,360.60204915157937,356.78840214139774,357.1846185333732,139000
2025-08-13,365.4755554199219,366.2977338781399,357.9869540249473,359.6609961846354,162600
2025-08-14,364.593994140625,365.9807666467644,361.32514084468215,365.8321892763518,102300
2025-08-15,363.05859375,367.9420580667829,360.909104042923,367.9420580667829,201900
2025-08-18,356.3426208496094,363.3854900269872,356.3228206113445,362.54351134547454,86700
2025-08-19,359.5421447753906,359.88884545235913,354.59927956547887,355.21341950385994,119600
2025-08-20,360.8397521972656,363.6727581843064,359.74024950553786,360.6515441317565,88900
2025-08-21,356.4219055175781,361.5529788945109,356.0058586518985,360.146375922271,85700
2025-08-22,362.9001159667969,365.3170752537012,358.66053709506474,358.66053709506474,101800
2025-08-25,359.88885498046875,362.7416614285557,359.5124388200443,362.7416614285557,104100
2025-08-26,346.7936706542969,359.4826909255613,346.5361164142081,359.4826909255613,261900
2025-08-27,347.4771728515625,350.983719580189,346.5262172575942,346.5262172575942,94000
2025-08-28,348.0417785644531,348.79461087769965,345.41681093191374,347.14039911069534,94600
2025-08-29,351.0332946777344,354.3714640798861,347.57626337380714,348.68568142954456,114600
2025-09-02,334.8674011230469,351.75637095870906,334.02542237111345,351.75637095870906,165800
2025-09-03,325.07080078125,334.3621913820119,320.70244485830455,334.3621913820119,202700
2025-09-04,333.2527770996094,333.38155422762105,322.68356057960165,326.16039188905296,149000
2025-09-05,331.9056396484375,334.5603227411191,331.10329162586856,332.27214056870065,104300
2025-09-08,333.074462890625,334.0551036804582,330.69713448017944,332.7871931795959,101200
2025-09-09,328.4188537597656,332.3414775721826,327.6165057593559,332.3414775721826,88900
2025-09-10,326.88348388671875,329.429220092037,325.09057992375034,327.43819283496475,132800
2025-09-11,334.72869873046875,335.0654841448656,325.5363402072033,326.8042506852617,112700
2025-09-12,335.46173095703125,337.4824738562412,333.2428949763289,334.8178755407781,66600
2025-09-15,318.7708435058594,338.48290306979123,318.7708435058594,336.6008526001565,122800
2025-09-16,317.7010498046875,320.920356936845,317.413780088671,319.1769686318778,115300
2025-09-17,317.3444519042969,325.42739328194347,316.4628726973934,318.9788634181895,203000
2025-09-18,316.6015319824219,320.23688612599085,314.9968359567006,315.8685301507647,100100
2025-09-19,314.9869079589844,318.2062151142573,314.7392689470403,316.6015191535592,292500
2025-09-22,317.9981994628906,318.46376200376613,313.1147655152069,314.6402302577692,109300
2025-09-23,314.3034362792969,321.2868748739515,313.7685577541196,320.5934735169652,150800
2025-09-24,311.30206298828125,314.2836466024048,307.2606072931416,313.6298759313989,221400
2025-09-25,309.9945373535156,314.2836318793482,307.5577476313648,312.282719480156,119900
2025-09-26,313.0058288574219,314.4916630857083,312.0251879401527,312.5105507813264,81900
2025-09-29,310.29168701171875,313.0058009533623,309.56857020250936,313.0058009533623,108100
2025-09-30,315.15533447265625,315.3435425512418,310.47990844078515,310.47990844078515,111300
2025-10-01,309.10302734375,321.49489416612613,308.5978642749459,315.31383360694286,152500
2025-10-02,311.6388244628906,312.81758858105235,303.90258412869264,307.95398497611205,109000
2025-10-03,316.1458740234375,319.49395832478854,311.63882583724507,311.63882583724507,102600
2025-10-06,314.5492248535156,316.12101253733783,312.1019988205404,315.80269615882247,99200
2025-10-07,317.75250244140625,319.6525945999146,316.419459691507,316.419459691507,86800
2025-10-08,325.99951171875,326.9346363006779,316.3498348027775,319.2347800546073,98900
2025-10-09,318.787109375,327.3026867630832,317.4043078930702,327.12359775935295,127300
2025-10-10,322.6270751953125,328.0388481592624,320.96575822702346,321.41340485356164,117100
2025-10-13,317.81219482421875,323.3333824004897,312.6192814408095,322.89566323719737,102000
2025-10-14,319.4735412597656,321.04532889867806,313.355430813313,317.5734490696933,95400
2025-10-15,316.74774169921875,318.339444996042,313.2659040195745,317.69282407023684,107400
2025-10-16,310.3113098144531,315.1958342377476,305.2477267424549,315.1958342377476,160900
