,Close,High,Low,Open,Volume
2025-01-10,47.58241653442383,48.11176445380907,47.42557312195137,48.06274784911487,2411300
2025-01-13,48.32741928100586,48.32741928100586,47.41576582511885,47.4451765342854,2122700
2025-01-14,48.64110565185547,48.69011851410306,48.2686049072204,48.53327511124575,1642300
2025-01-15,48.82736206054688,49.18025692899541,48.61170096918232,49.04301941246956,2246300
2025-01-16,48.58229446411133,48.67051911692976,48.04314173053093,48.46465910072548,4154000
2025-01-17,49.101837158203125,49.49394755402879,48.778345520730674,48.86657017281935,2349000
2025-01-21,49.13124465942383,49.25868110035904,48.856769623048216,49.06262590032993,3188200
2025-01-22,48.101959228515625,48.78815055454481,48.101959228515625,48.78815055454481,3222000
2025-01-23,48.49406814575195,48.53327619275872,47.81767791756076,48.05294489681025,2493800
2025-01-24,48.88617706298828,49.30769443828789,48.76854543761968,49.1508510246491,1743300
2025-01-27,48.91558456420898,48.98420331945826,48.45485543087094,48.8273599161111,2824900
2025-01-28,47.74905776977539,48.32741851499405,47.46477793546891,48.31761743838836,2630800
2025-01-29,47.827484130859375,48.3372261512539,47.67064071992582,47.81767931423997,2142000
2025-01-30,48.7685432434082,48.98420432974917,48.44505161389676,48.65091162333213,2105600
2025-01-31,48.18038177490234,48.8567682698548,48.043140521073816,48.719530755468085,1949600
2025-02-03,47.827484130859375,48.29801436366004,47.27853032287099,47.39616194621069,2607700
2025-02-04,48.84696578979492,49.00380919308055,48.19018146767018,48.33722379425621,2138800
2025-02-05,49.062625885009766,49.32729984405014,48.8959813956743,48.93518944411435,2203400
2025-02-06,49.68999862670898,50.23895242871449,49.55276111106807,50.189939564477285,2183600
2025-02-07,49.35670471191406,50.23895120445187,49.2782848789339,50.22915012762001,2115800
2025-02-10,49.81743621826172,49.925266765744325,49.57236815196195,49.729211564816126,1834900
2025-02-11,49.20966720581055,49.25868006993206,48.68031929863778,48.90578146515021,2234400
2025-02-12,49.66059112548828,50.15072724150749,49.25867965993021,49.32729841701755,2463800
2025-02-13,50.80751037597656,50.94474788689502,49.81743335102185,49.92526389229827,2983200
2025-02-14,50.53303146362305,51.48389669991784,50.513425570773066,51.44468491421787,2833500
2025-02-18,50.91533660888672,51.346658769172855,50.6800733754958,51.31724806041773,1942700
2025-02-19,50.07230758666992,50.37618958644671,49.63118433278543,49.94487114900511,2756700
2025-02-20,51.08198547363281,51.36626531206685,50.836917421074176,51.19961709181728,3012500
2025-02-21,50.425201416015625,51.25843504280436,50.38599336937376,51.15060450079532,2155900
2025-02-24,50.08210754394531,50.45461203216848,50.05270057415776,50.43500613916287,1771800
2025-02-25,49.69980239868164,49.89585759095182,49.40572147999725,49.797828125095855,2287200
2025-02-26,49.229270935058594,49.66058935558425,49.10183450239173,49.31749558237539,2245300
2025-02-27,48.38623809814453,49.052823516827566,48.278407554027886,49.02341280696915,2091300
2025-02-28,47.52359771728516,47.99412794346321,47.13149106519103,47.680441126011175,3056100
2025-03-03,47.876495361328125,49.1214415291218,47.64122838323788,48.99400509351285,3512000
2025-03-04,48.249000549316406,48.99400580172812,47.47458458706717,47.92550891719642,2894400
2025-03-05,49.70960235595703,49.76842003414589,48.92538534398068,49.2194662560416,2957600
2025-03-06,49.68999862670898,49.8566468524457,49.29789197336949,49.29789197336949,2627300
2025-03-07,50.15999984741211,50.27000045776367,48.66999816894531,48.66999816894531,3737900
2025-03-10,49.61000061035156,50.040000915527344,49.18000030517578,49.25,5071100
2025-03-11,49.77999877929688,50.369998931884766,49.31999969482422,50.310001373291016,3574400
2025-03-12,48.36000061035156,49.09000015258789,48.209999084472656,49.04999923706055,3711700
2025-03-13,48.650001525878906,49.150001525878906,48.209999084472656,48.369998931884766,3155600
2025-03-14,49.45000076293945,49.59000015258789,48.970001220703125,49.25,2319100
2025-03-17,50.56999969482422,50.68000030517578,50.09999847412109,50.130001068115234,3305200
2025-03-18,50.540000915527344,50.68000030517578,50.06999969482422,50.59999847412109,2091700
2025-03-19,50.060001373291016,50.33000183105469,49.7599983215332,49.970001220703125,2027700
2025-03-20,49.310001373291016,49.43000030517578,48.810001373291016,48.88999938964844,2110100
2025-03-21,49.150001525878906,49.22999954223633,48.63999938964844,48.709999084472656,2242000
2025-03-24,49.29999923706055,49.959999084472656,49.02999877929688,49.56999969482422,2411600
2025-03-25,49.650001525878906,49.95000076293945,49.58000183105469,49.650001525878906,2143500
2025-03-26,49.81999969482422,50.06999969482422,49.59999847412109,50.06999969482422,2667900
2025-03-27,49.630001068115234,49.77999877929688,49.2599983215332,49.459999084472656,2749200
2025-03-28,48.91999816894531,49.790000915527344,48.84000015258789,49.52000045776367,2914700
2025-03-31,48.540000915527344,48.630001068115234,47.29999923706055,47.58000183105469,3272300
2025-04-01,48.77999877929688,48.959999084472656,48.36000061035156,48.52999877929688,2520700
2025-04-02,47.880001068115234,48.29999923706055,47.52000045776367,48.18000030517578,3720700
2025-04-03,46.47999954223633,47.02999877929688,46.09999847412109,46.41999816894531,4734800
