Date,Close,High,Low,Open,Volume
2025-01-10,499.4087524414063,507.4059072024728,498.80277279387707,504.1375037673527,575600
2025-01-13,504.6640625,506.5118336884056,496.1900785687402,496.1900785687402,572700
2025-01-14,507.33636474609375,508.5086085568125,502.2797937807504,503.43217984316254,535800
2025-01-15,514.55859375,517.5885523628821,510.3961069313303,514.5784211792372,1000800
2025-01-16,515.6910400390625,516.7838527069356,512.4226673354971,515.3930222694017,619700
2025-01-17,518.8899536132812,525.5856826127985,516.6547292694717,525.5856826127985,763800
2025-01-21,527.3043212890625,527.9301889785296,519.6052149397341,520.6483681784078,686400
2025-01-22,530.9404296875,532.4106915418544,526.4302037812687,527.3938655946658,481100
2025-01-23,529.73828125,529.8574883768124,524.5724167621903,527.6123197646004,387600
2025-01-24,527.8804931640625,531.4866598376332,525.8638556855628,528.9633618230278,385400
2025-01-27,537.7752075195312,538.1129408500252,523.7379916471195,524.4432904083952,748400
2025-01-28,546.0106811523438,549.6168480608605,532.172165710909,536.5631229193373,686000
2025-01-29,539.4541015625,546.2988100494327,539.2951182994204,544.3020603024939,691300
2025-01-30,566.8529052734375,580.4728949668868,557.9120073313685,562.2731932131315,1153800
2025-01-31,571.869873046875,578.098658275921,566.3264985494685,568.2438174405845,1158100
2025-02-03,573.2506103515625,577.6813437762152,565.9389573368353,571.4624429104224,892400
2025-02-04,573.87646484375,575.8136714580451,567.4092058534621,574.2738623256771,768100
2025-02-05,577.6018676757812,578.4264341430309,569.3563849063221,574.3434385719113,484800
2025-02-06,579.5887451171875,579.9364830965293,573.916280698115,578.5456524478559,714800
2025-02-07,568.9987182617188,580.5920648725134,568.8199075904606,579.6185198953276,496600
2025-02-10,570.7471313476562,571.4822620465645,563.6837768238584,569.5351115901111,569100
2025-02-11,577.5323486328125,577.6118402639623,566.7536230012521,566.7536230012521,552900
2025-02-12,563.0382080078125,572.0387103404581,562.7401901758078,569.8630892152979,688500
2025-02-13,569.6643676757812,571.6512339888513,561.5679238306292,565.6409755186838,400400
2025-02-14,569.8134155273438,574.1348255699382,569.167659712083,571.224073653357,353200
2025-02-18,568.7703247070312,570.369737566312,565.7403050162293,569.1676615963657,550800
2025-02-19,573.2506103515625,574.154668421733,564.4090922014582,568.7702780334558,478000
2025-02-20,577.6018676757812,578.0588687393639,565.2733893352025,571.184328526307,474700
2025-02-21,570.2802734375,576.5886101636067,569.7736128421142,575.5852330055832,634300
2025-02-24,572.793701171875,576.0919064977468,568.5219507644296,571.3432669481379,512100
2025-02-25,583.4830322265625,590.0098344314652,573.3003428015934,574.3434354450869,984000
2025-02-26,571.373046875,583.0557686901769,570.6577435442429,581.3570369690195,646000
2025-02-27,568.740478515625,576.1415676118245,568.223873874506,570.2703437386382,549100
2025-02-28,580.6617431640625,581.0889121917219,569.892899896583,575.2475197450716,911100
2025-03-03,581.9630126953125,588.1123657012448,579.3205074609679,584.6254059936499,709900
2025-03-04,580.9895629882812,586.1255957223315,578.625187090382,582.5591438082284,870700
2025-03-05,589.9104614257812,591.2615157858813,578.1680758085738,578.7442839399818,629100
2025-03-06,584.4266967773438,588.4600324633424,579.0323626877623,585.8771308329485,569800
2025-03-07,584.5161743164062,586.0460394675064,574.174501753237,581.7742892491183,462700
2025-03-10,572.6644897460938,587.277851002183,570.3100582850055,582.9763295828546,748700
2025-03-11,562.0347900390625,572.9128948763652,560.2267344768233,572.3167986212133,611700
2025-03-12,562.7003784179688,565.4919230973256,555.9251571723582,562.9387926684788,621500
2025-03-13,559.1836547851562,564.1707085874345,557.0974694296317,559.7399749222526,431800
2025-03-14,565.551513671875,568.0350964482291,562.00495019112,562.5911024054514,428900
2025-03-17,571.8102416992188,574.4428032959938,565.5515640379541,565.5515640379541,499000
2025-03-18,573.0718383789062,573.5884430253262,565.919107496872,570.0717114657357,459800
2025-03-19,574.0355224609375,576.5191054588925,568.5219803323477,575.4064651265567,488800
2025-03-20,571.6710815429688,573.6480036828814,567.1012529661439,570.5385532725329,439200
2025-03-21,568.4225463867188,569.3266044669355,560.5545731776638,566.1773778693299,879700
2025-03-24,572.86328125,575.7342571270005,570.3895816395753,573.4990324183531,568900
2025-03-25,575.2672729492188,578.3369470619763,568.7602987183774,571.9889560714394,735500
2025-03-26,578.8834228515625,581.426609159211,575.7540843364887,575.7540843364887,336500
2025-03-27,588.6588134765625,590.3476619944977,574.3136360588443,583.8108547502856,627300
2025-03-28,578.8139038085938,587.8342331342329,576.8071494469698,585.4897454575786,876500
2025-03-31,585.708251953125,588.1222868951775,576.3799014220173,579.0025791248664,994700
2025-04-01,586.9004516601562,589.1058440968083,580.3934161731952,581.9531134581397,438600
2025-04-02,586.483154296875,589.056172722242,576.2607494576847,580.3536890063856,411900
2025-04-03,575.8931274414062,586.622191811687,573.0220914931687,585.9863801336887,994200
2025-04-04,539.0090942382812,575.3609100416354,537.974473294804,573.8089482660422,1672600
2025-04-07,529.7968139648438,544.858840958264,516.8439225129446,530.3041966216725,1109300
2025-04-08,516.515625,539.0987081439124,511.2727516412184,532.0651188323857,806300
2025-04-09,550.9075317382812,553.394653966426,511.22299489302287,514.8442594301833,1153100
2025-04-10,546.7689208984375,551.613830092923,530.3539143562592,545.1174984725393,944000
2025-04-11,557.2745361328125,561.811044712615,540.5213145694687,545.9233368393102,669100
2025-04-14,562.965087890625,567.7900806601966,555.7822474173054,565.51189858925,378400
2025-04-15,564.1589965820312,568.7352777639745,560.4382709802379,566.9445616806387,340700
2025-04-16,553.4046020507812,566.9544388442727,549.6838769808373,559.6820960109942,635200
2025-04-17,554.36962890625,561.5623675102662,553.5638036714464,558.607695222907,343100
2025-04-21,536.4921875,552.4794166621276,532.1546001339427,547.5847163390664,372600
2025-04-22,548.460205078125,548.9476713403817,540.7501258409172,542.7696983225636,517600
2025-04-23,548.2413940429688,561.2142029097346,547.5151129959361,552.9569685026759,623400
2025-04-24,556.7771606445312,558.5380627925937,545.1772481045522,548.2811721047126,674300
2025-04-25,554.8273315429688,556.3593772321282,548.2016028160178,556.3593772321282,671000
2025-04-28,549.1068725585938,555.3246782975018,532.7714703231472,535.1789877034399,805900
2025-04-29,553.3051147460938,555.1853938047614,549.18648630618,550.569280176975,716500
