Date,Close,High,Low,Open,Volume
2025-01-10,84.7710189819336,85.60373870689416,83.15455864859581,83.9578894087455,1691100
2025-01-13,89.6497802734375,89.6497802734375,83.99706906015562,84.29097362843888,2824600
2025-01-14,90.74701690673828,92.7749376977672,89.67917798807531,90.76661453283184,1890700
2025-01-15,93.21578979492188,94.7832634580232,92.17733242024524,92.73575262060108,2289000
2025-01-16,92.40266418457033,92.92188915679311,90.99193409075411,92.75534670802436,2082700
2025-01-17,95.50821685791016,97.05610034157928,93.27456599504782,93.47050487074864,2049500
2025-01-21,92.1381607055664,95.12615601931772,91.98140958749572,95.12615601931772,1921600
2025-01-22,88.41539764404297,91.59933163122456,88.37620986728423,91.51116473924554,2427200
2025-01-23,87.97455596923828,89.05219376477228,87.0928496004178,88.1704873959518,2775600
2025-01-24,86.9556884765625,89.55182076138453,86.67158270074458,88.99340054821182,2297500
2025-01-27,86.97527313232422,87.0242597187613,85.39800072013772,86.42665924088672,3132200
2025-01-28,84.15382385253906,86.5638160056795,83.3994722488216,86.41686371508352,1888400
2025-01-29,84.5261001586914,85.52536979842412,83.7129705933667,84.5750867491054,1678800
2025-01-30,83.90890502929688,85.41760074749801,83.174151057892,85.33922519671522,1929700
2025-01-31,82.47858428955078,84.28117709922313,81.3911478214731,83.92849459745179,2785900
2025-02-03,78.81461334228516,80.6074149855598,78.04067900106179,79.85307079661993,3322000
2025-02-04,80.8033447265625,81.75362022790893,79.03013343643967,79.45139266870818,2446900
2025-02-05,78.25618743896484,80.08817655363198,77.45285679268953,78.38354956749721,2619500
2025-02-06,77.39408874511719,79.79428217850355,76.91405155330078,79.35343276398092,2240900
2025-02-07,75.79722595214844,77.5998188592604,75.14084002629609,77.39408863449029,2649700
2025-02-10,73.612548828125,76.65932915344587,73.31864425698454,76.16949318441426,3077500
2025-02-11,74.16116333007812,74.25913650413119,71.39848874104717,71.91772115089556,3349100
2025-02-12,75.0428695678711,75.59149094015132,73.06393552566766,74.18076094615043,3431100
2025-02-13,77.63899993896484,81.3421586139821,73.42640767810714,78.27578818411361,5153700
2025-02-14,79.55915832519531,80.71517152753026,77.97208707220211,78.53050726017513,2744400
2025-02-18,81.88098907470703,82.40021404846254,77.74677196202857,78.86359746482839,2654800
2025-02-19,81.96915435791016,82.29244791139507,79.5493633246269,80.48005620820733,3143000
2025-02-20,80.8327407836914,83.00761387260843,80.3135158069202,81.60668257947837,1500900
2025-02-21,79.54936218261719,82.3316345063174,79.12810293014618,81.12663467621995,1677800
2025-02-24,79.38282012939453,80.57802115271556,78.0700632508643,79.21627768497875,1785600
2025-02-25,76.82588195800781,79.38282665939907,75.1310534620234,79.25547198101158,3200000
2025-02-26,75.95396423339844,77.54103546529889,75.44453811382135,77.29611748055335,2747500
2025-02-27,77.36470031738281,77.91331425469289,75.35636969439449,75.8951922930414,3499800
2025-02-28,75.46412658691406,76.4144095424978,74.170959955167,75.79721892540384,2821800
2025-03-03,68.52806091308594,77.16876860014328,68.390907416014,77.16876860014328,5055400
2025-03-04,70.6931381225586,72.66227354503847,65.86335465760776,67.59737088286555,3852200
2025-03-05,72.70145416259766,73.32844360963502,70.8792637464254,71.65320548011609,3400400
2025-03-06,74.9253158569336,75.33677629216263,71.25154595459443,71.25154595459443,3772900
2025-03-07,73.97502899169922,76.78668262689509,72.77002923782698,72.77002923782698,3451100
2025-03-10,74.8371353149414,78.01127015573705,74.00441570067846,74.06319362248658,2849100
2025-03-11,71.19276428222656,75.84620640223872,70.41882248535012,75.48373253644522,2582400
2025-03-12,71.32991027832031,72.32917982478048,69.6056930763912,70.69312950820182,2199300
2025-03-13,70.92825317382812,72.6034913704342,69.65467660423553,71.15357354465655,1658300
2025-03-14,74.11531829833984,74.46013083530522,71.32724868337057,73.09072710539303,2761500
2025-03-17,78.16441345214844,78.56834207883414,75.04138523237448,75.04138523237448,2763700
2025-03-18,77.33686828613281,78.19398023289699,76.2630223852944,77.82945980387888,1934500
2025-03-19,78.31219482421875,78.96241921421543,77.13983216146232,77.45509042185016,1984400
2025-03-20,75.88864135742188,77.35656184682634,75.16946201382112,76.26301568849843,2009500
