,Close,High,Low,Open,Volume
2025-01-10,31.72699546813965,32.024227626500696,31.650288979181944,31.889991270824712,3841800
2025-01-13,31.35306167602539,31.506471002234093,31.20923883251924,31.39141492196928,4673700
2025-01-14,30.75859832763672,30.950357225598488,30.413424630415825,30.892831019236567,6251200
2025-01-15,31.448938369750977,31.56399443990527,31.17088284744213,31.43935188789084,4782300
2025-01-16,32.06258010864258,32.12969646375778,31.372239933519506,31.46811939580778,4534800
2025-01-17,32.05299377441406,32.2159895925751,31.8804078154394,32.2159895925751,3930400
2025-01-21,32.388572692871094,32.398162832838274,32.148870399625885,32.18722364436114,4111300
2025-01-22,32.05299377441406,32.34063582018281,32.03381715035387,32.25434284069548,3546100
2025-01-23,32.64745330810547,32.76250939073429,32.398164519481874,32.455690732012826,3738400
2025-01-24,32.85839080810547,32.89674405285373,32.55157216525288,32.60909837480853,3165900
2025-01-27,34.03772735595703,34.03772735595703,33.39532693332179,33.39532693332179,6505300
2025-01-28,33.65420150756836,34.12401962560408,33.395326241837985,34.04731313385668,4552900
2025-01-29,33.61585235595703,33.7980247898734,33.50079261684122,33.51038275721765,6057200
2025-01-30,33.90349197387695,34.12401763845859,33.481613608967194,33.62543644383491,5020400
2025-01-31,33.81719970703125,34.0569019984129,33.61585066008667,33.740493218157106,5112700
2025-02-03,33.462440490722656,33.75008250156775,33.15562185814567,33.43367372934152,3280000
2025-02-04,33.404911041259766,33.53914373748693,32.81045039043947,33.165208752977925,7121000
2025-02-05,36.1471061706543,36.3484552170351,35.504702129615524,35.53346889164613,10193200
2025-02-06,34.881473541259766,36.06080820944594,34.871883402721124,35.974515250429086,7168000
2025-02-07,34.55548477172852,35.01571275316117,34.48836841970085,34.98694964731127,5356500
2025-02-10,34.967769622802734,35.3896443170206,34.871886516685144,34.871886516685144,4539300
2025-02-11,34.58424377441406,34.8527091506733,34.49795080953553,34.82394604823593,4893000
2025-02-12,34.64177703857422,34.766419599753284,34.06648933037034,34.248665417206624,3619800
2025-02-13,35.04447555541992,35.11159190686616,34.52671770920596,34.680127035021194,4462600
2025-02-14,34.68012619018555,35.092414429064085,34.67053970774112,34.97735835189723,4541900
2025-02-18,35.10200500488281,35.33211716207347,34.9677723035938,35.08282838218913,4368300
2025-02-19,35.03488540649414,35.14035499274896,34.85270933657529,34.99653216466212,3408500
2025-02-20,35.437583923339844,35.68687634084928,35.11158867875815,35.20747178455659,6244700
2025-02-21,35.51610565185547,35.545184249909035,34.94420313812774,35.08960352376639,5644700
2025-02-24,35.94260787963867,36.00076506992405,35.59364994718625,35.69058106278524,2857800
2025-02-25,37.18334579467773,37.22211972195853,36.407885737488016,36.407885737488016,10536500
