Date,Close,High,Low,Open,Volume
2025-01-10,366.23828125,366.96654817393375,350.1760680507897,362.347442138624,2387000
2025-01-13,365.9489440917969,365.9888587202592,352.1813505285656,354.49588139838454,3267900
2025-01-14,381.3627014160156,387.96715690901726,372.82279739869153,375.4366423996374,3095600
2025-01-15,386.1214904785156,391.8480067475887,379.1079938108525,390.08217257906136,2524000
2025-01-16,390.0821838378906,396.8263254546181,386.1215016230288,393.1449847622629,2111600
2025-01-17,400.4677734375,403.1813899957938,388.67551123187417,392.3668383954309,2363800
2025-01-21,415.02349853515625,416.2306497055509,394.36212087092616,404.0493194873516,4223300
2025-01-22,426.0974426269531,433.0810110085133,417.1185689935186,428.99062915298254,4973900
2025-01-23,436.6825256347656,446.44955344048384,421.6678656806749,422.6355899528975,3925000
2025-01-24,419.5029602050781,435.90437248627074,415.0235094729399,435.90437248627074,4717500
2025-01-27,329.2253723144531,352.1713831121271,321.5434347820722,338.80284378006206,13356800
2025-01-28,354.2864074707031,354.6755066218513,316.9542620124348,350.5901177645095,10396700
2025-01-29,352.4207763671875,367.97417654542113,345.4471945265718,357.4589097532961,5449800
2025-01-30,382.0411071777344,386.73008679823727,364.0733732578653,364.1432162501998,5682500
2025-01-31,372.0047302246094,386.17137978587925,369.6901687370972,384.6549586971349,4139500
2025-02-03,360.8609313964844,366.3330720119542,348.1309042896112,349.5176256407977,4079400
2025-02-04,355.693115234375,365.22068632281537,348.7444678456487,359.7535690226528,2766400
2025-02-05,367.0663146972656,368.6077013642015,358.7858102756486,363.1156189165901,2810000
2025-02-06,373.95013427734375,379.1578823960591,363.7421575879791,365.130888389907,2460800
2025-02-07,377.082763671875,388.9747963512392,374.5088332970721,379.7863937592039,2391700
2025-02-10,384.0962524414063,384.79462144240347,371.12676859273535,378.2599786203161,2078900
2025-02-11,372.024658203125,382.1807546303326,368.502945650644,380.4049341736186,2064300
2025-02-12,368.78228759765625,377.37209255072486,358.88559058442286,363.9037820819777,1825400
2025-02-13,369.4407348632813,376.31457594702016,359.7535365636657,375.1173806389448,2609700
2025-02-14,366.7271423339844,368.41317778665945,356.16200418274883,368.41317778665945,2238800
2025-02-18,372.3738708496094,376.8832501000279,362.4971151935574,367.05639534661947,2407300
2025-02-19,374.3193054199219,375.59629965877167,365.3903015717366,369.0716424723943,1670900
2025-02-20,358.835693359375,382.3902879633228,352.28110822378386,374.1795957959205,3456000
2025-02-21,327.1103515625,359.08510640697085,324.6561345998067,356.7605891584668,6965000
2025-02-24,315.16845703125,328.613811766662,302.727727081747,326.611534315824,7156900
2025-02-25,316.9442749023437,321.34791518986214,297.30049165874647,306.5387650013139,6835200
2025-02-26,334.4530639648437,341.26704860024915,327.0804267281897,334.0440227256604,4676800
2025-02-27,325.5140686035156,347.69189546490173,321.2441169623505,344.3696954664657,4768000
2025-02-28,334.3932189941406,335.21130150125947,317.9319497239895,321.5933484669596,4096600
2025-03-03,315.23828125,336.6379113706526,308.0481981913775,333.91433924300924,4846200
2025-03-04,312.33514404296875,320.894990975735,293.75885528662246,305.0821892904663,6257500
2025-03-05,316.05633544921875,323.1297192639947,310.4595189073653,313.81161707118184,4617100
2025-03-06,292.5216979980469,308.3544392217089,287.60327819427147,305.96007917176456,7501000
2025-03-07,288.6208801269531,300.29342752818576,278.903753709772,292.3122068629848,7397700
2025-03-10,269.49591064453125,280.709516497619,265.84449835395515,275.32219836818985,6818800
2025-03-11,283.5428466796875,290.845671270051,267.87971858818224,269.35622500159604,5274800
2025-03-12,297.9788818359375,307.2770117049444,291.7036686803143,300.87206838942546,4541500
2025-03-13,299.53521728515625,302.7775883477746,284.6801853870808,296.3028324915859,2880400
2025-03-14,312.8938293457031,315.0587187115252,302.28877599632887,305.7306900796156,4404500
2025-03-17,331.1807861328125,334.50298671733503,310.2699937900275,311.76647285975434,4376600
2025-03-18,318.1813659667969,330.2000850326037,313.8236380034754,328.2277358890287,2773800
2025-03-19,335.01171875,342.61385686084407,319.7476467020385,322.5061706550324,3445600
2025-03-20,336.039306640625,341.5363821239162,328.4970555374869,328.4970555374869,3500100
2025-03-21,333.0863037109375,334.3653073876894,324.34685627338143,329.8639049595408,3012100
2025-03-24,342.76348876953125,348.7992744281267,338.3538511684565,343.4318989182798,3141000
2025-03-25,335.41082763671875,344.1303019127737,332.42782555864034,343.0628062876618,2631700
2025-03-26,316.9542541503906,334.6625884122831,313.92138161672943,334.6625884122831,3798600
2025-03-27,302.28875732421875,314.25060302810897,301.62031664283137,309.4518961478455,3814200
2025-03-28,302.2189025878906,308.1549478890177,298.4278347887126,301.2910929530414,2725300
2025-03-31,304.5634155273437,305.3116550535456,287.323978061492,290.6661207010489,4678300
2025-04-01,314.8990783691406,315.68720199478264,301.6901373639195,306.8779430143731,3544500
2025-04-02,330.0234680175781,334.99678206221495,305.2816957072615,306.359147119426,4203200
2025-04-03,296.9613037109375,315.12855069250907,292.78612963401366,306.2344684257515,5752200
2025-04-04,270.8427429199219,282.80458803280106,251.65787217015745,276.5094024669157,8095800
2025-04-07,285.39849853515625,297.789327296081,252.48194398478267,256.4166710244783,6522200
2025-04-08,286.216552734375,306.33918748111074,278.9157077971456,303.0569020891005,5858400
2025-04-09,326.0428771972656,332.51763349237683,280.9000971351442,282.5452132885601,7482600
2025-04-10,309.2224426269531,321.48357144055154,302.3885160713258,311.3075329551711,4444800
2025-04-11,320.67547607421875,322.4512965295871,305.28170337137453,309.27231387296115,2800700
2025-04-14,321.5434265136719,333.4653874738357,316.7547061269793,332.54753366931635,2467500
2025-04-15,327.7887268066406,330.3527012251611,322.31162392595365,322.61090751934734,1635300
2025-04-16,327.38970947265625,331.5299620351906,315.2582491432508,317.8222238562841,4015200
2025-04-17,323.0365905761719,339.4505066265536,321.26941011594664,334.72803151678914,2860900
2025-04-21,312.58319091796875,324.41439341924814,305.7240971163097,319.49222366106653,2526800
2025-04-22,325.5526123046875,330.6944343940973,317.0960509476596,318.5437318633903,3471400
2025-04-23,335.55670166015625,358.3105478961878,332.66130936243206,353.47823147830485,5443600
2025-04-24,359.91796875,366.07819166943966,336.77475782732535,341.9465309486676,4980400
2025-04-25,371.8290710449219,375.5531329178216,356.37362317080147,359.23906428527147,3961100
2025-04-28,369.4728088378906,379.3591049897549,361.05619236231337,370.41131974053377,3001500
2025-04-29,370.60101318359375,371.4995790062248,362.6436584379381,369.0334970833912,2430000
2025-04-30,370.2315979003906,370.9205054603693,357.0725189610401,359.40880224173384,2756800
2025-05-01,381.6834106445313,386.9050924523157,377.8694647092333,382.7317323714862,3246800
2025-05-02,395.691162109375,402.7799025569029,384.9382314838599,390.3795960979513,3602400
2025-05-05,400.4635620117188,403.15925951426567,389.59183253966194,391.3779953124209,2296900
2025-05-06,400.5933532714844,402.00111958921553,391.4977928561399,393.9439174696952,2242700
2025-05-07,406.1644592285156,406.6437085189848,396.380022350698,399.3652679787102,2488700
2025-05-08,393.3748168945313,413.0934784013003,393.23502441561845,409.3494287481163,3346400
2025-05-09,398.62646484375,399.1456287399772,386.41586041246205,395.62123135512536,2383700
2025-05-12,415.9689025878906,418.1354422014407,408.17129781725936,414.341484172582,2989900
2025-05-13,432.6423950195313,443.2954776755032,419.3335599633138,420.2421196661994,4769700
2025-05-14,432.1531677246094,439.6412667574086,431.1347972250437,438.22353706992425,2577200
2025-05-15,426.2925109863281,432.10328347410666,424.7150314414183,429.4874456070794,2954300
2025-05-16,427.3807678222656,430.7783831807121,422.428646697766,430.3161051767811,2603800
2025-05-19,445.891357421875,446.735017825308,420.9689606112277,423.8264188059892,3128700
2025-05-20,449.3258972167969,450.6487764610984,441.8547693327776,443.0758206655593,2756700
2025-05-21,452.3111267089844,462.265307442219,445.7914897903905,446.2906963859004,3932400
2025-05-22,458.0919799804688,463.9626548334924,447.7384393331809,452.2812074856062,2713800
2025-05-23,463.6531372070313,469.0655253645219,458.0620169926159,459.2800823590808,3571600
2025-05-27,470.7618408203125,475.2547004411388,465.2605740677935,470.8916394177566,2942600
2025-05-28,484.2404479980469,486.62663995889903,466.7582212344099,467.796579605525,3318100
2025-05-29,470.4223937988281,488.3538875953878,461.2669307071519,486.4768657728566,4291100
2025-05-30,472.2294921875,473.038204452042,462.60477419441065,469.25420984554165,5092500
2025-06-02,484.3901672363281,485.5083851809717,471.7402581819514,474.2462851441052,2514400
