Date,Close,High,Low,Open,Volume
2025-01-10,59.19392013549805,59.63253876588064,58.01452626574366,58.67732692538627,3063200
2025-01-13,59.310882568359375,60.03216693569751,58.36541989486901,59.45709001469583,2324500
2025-01-14,58.30693817138672,59.77874695849826,58.141239863521285,59.43759747808892,2028700
2025-01-15,57.52717590332031,60.39281156652641,57.50768132787142,60.13938952211094,2245900
2025-01-16,57.57590866088867,58.394662212782976,56.82538426180139,57.56616323257765,2530600
2025-01-17,58.56036376953125,59.203669860981975,58.034021407923404,58.306938016960096,1961000
2025-01-21,61.11408996582031,61.13358453934908,59.15492808559132,59.203666378518086,2253600
2025-01-22,59.330379486083984,61.11409404172578,59.24265575845882,61.11409404172578,1937100
2025-01-23,58.979488372802734,60.15888605751981,58.28744765376583,59.45709619133579,2410200
2025-01-24,59.05746078491211,59.40738151201948,58.44339471326713,59.07695535905114,1774200
2025-01-27,60.82167816162109,60.92889273759062,58.94536544990433,59.43759320126811,1867900
2025-01-28,58.80404281616211,61.97183882730282,58.60910077952681,61.698918488729376,2049300
2025-01-29,59.95418930053711,59.97368387481091,58.998977470379934,59.2134140691819,2471200
2025-01-30,60.07115936279297,60.68522174722106,59.51557698552374,60.65598174364163,2662800
2025-01-31,58.77677154541016,60.39965629020408,58.384536399806834,59.96329249307838,2510200
2025-02-03,59.11997985839844,59.3062912668175,56.933256918951685,58.6394874231416,3312100
2025-02-04,58.00210571289063,59.11017364961501,57.35491416711627,59.09056133117733,1981900
2025-02-05,57.9040412902832,58.35511337029909,57.08034265950038,57.962878242720215,2402000
2025-02-06,58.30608367919922,58.96308321376018,57.85501160512276,58.78657609944034,1219500
2025-02-07,57.76676177978516,58.7081306231935,57.22743611370751,58.7081306231935,1152500
2025-02-10,57.35491180419922,58.01190761179176,56.68810796745828,58.01190761179176,1230800
2025-02-11,57.59025192260742,57.87952893074748,56.158586406909805,57.09995520566985,1199100
2025-02-12,55.42314529418945,57.09995928824597,55.34469601835021,56.541021290227135,2795900
2025-02-13,56.15858840942383,56.58024390027898,54.93284657337215,55.8938277239566,3242500
2025-02-14,57.325496673583984,57.98249628162535,56.384127785704585,56.83519991023003,2019100
2025-02-18,56.5704345703125,57.34020027603003,56.089945876399895,57.02151039851677,1726500
2025-02-19,56.06052780151367,56.26645527648968,55.12896698230739,55.89382870440679,3227200
2025-02-20,55.707515716552734,56.570435266636615,55.609454126315576,55.95266408114485,1800300
2025-02-21,54.71711730957031,56.01150044824109,54.55630227759448,55.834993316543496,2041600
2025-02-24,51.27523422241211,54.95245979073196,50.95163657687967,54.726923738088416,5651500
2025-02-25,50.765323638916016,51.638051215783655,49.94162498668878,51.48115641253405,4977100
2025-02-26,50.90260696411133,51.19678425747512,50.21619078581767,50.91241125293432,3167300
2025-02-27,50.480953216552734,50.97713403908903,49.7553161172235,50.61823570882219,3072400
2025-02-28,50.863380432128906,51.27523162002491,49.30423672066629,50.61823207334968,12204000
2025-03-03,49.04928588867188,51.81455917878701,48.529572545839535,51.02027712030692,3005300
2025-03-04,48.94142150878906,49.72589556183237,48.3236465554755,48.47073707696308,3540700
2025-03-05,50.46133804321289,50.77512764798423,48.539375778821686,48.57860041458489,3566200
2025-03-06,50.69668197631836,51.07322875286469,49.89749592269814,50.54959146294845,2016800
2025-03-07,51.98126220703125,52.70690307667829,50.47311109947411,50.59862545734416,2932300
2025-03-10,51.45174026489258,52.95204706814312,51.05950138293574,51.80475451052028,2025800
2025-03-11,50.52998352050781,51.44193580476596,49.804346401406846,51.3929068762863,2072000
2025-03-12,50.31425094604492,50.5790116247406,49.71608834684364,50.31425094604492,2723500
2025-03-13,47.70587158203125,50.71629309497309,46.97042651390539,50.39269546947752,3130700
